Gesture_record,Body_part,Contact_recipient,Lateral_use,Repetition,Recording_number
Reach,Hand,NA,NA,NA,R200657
Raise,Hand,NA,NA,NA,R200658
BodyCross,Arm,NA,NA,NA,R200659
GazeStance,Body,NA,NA,NA,R200532
Pull,Hand,Unclear,Unimanual,NA,R200654
Present,Leg,NA,NA,NA,R200721
StompObject,Foot,NA,Unimanual,Singular,R200397
Push,Fingers,Extremity,Unimanual,NA,R200526
Jab,Foot,TorsoFront,NA,NA,R201232
LocomoteStiffRun,Body,NA,NA,NA,R201233
LeanIn,Body,TorsoBack,NA,NA,R200472
HitRecipientSoft,Knuckles,TorsoBack,Bimanual,Repeated,R203295
Grab,Hand,Extremity,Unimanual,NA,R201231
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200748
ObjectMove,HandFoot,NA,Bimanual,NA,R200749
Pivot,Body,NA,NA,NA,R200750
Present,Back,NA,NA,NA,R200522
Push,Hand,Head,Unimanual,NA,R200493
HitObject,Hand,NA,Bimanual,Singular,R202450
HitObject,Hand,NA,Bimanual,Singular,R202451
HitRecipient,Hand,Head,Bimanual,Singular,R202452
LeanIn,BodyChest,TorsoBack,NA,NA,R201406
Touch,Arm,TorsoBack,NA,NA,R201408
Touch,Hand,TorsoBack,NA,NA,R201409
Touch,Knuckles,TorsoBack,NA,NA,R201407
Reach,Hand,NA,NA,NA,R200483
Grab,Hand,TorsoBack,Unimanual,NA,R200728
Reach,Hand,NA,NA,NA,R201602
Grab,Hand,Extremity,Unimanual,NA,R201603
GrabHold,Hand,TorsoBack,Bimanual,NA,R201604
Push,Hand,TorsoBack,Unimanual,NA,R201238
Embrace,Arm,TorsoBack,Unimanual,NA,R200694
GrabHold,Hand,TorsoBack,Unimanual,NA,R200695
Grab,Hand,Head,Unimanual,NA,R200696
Reach,Hand,NA,NA,NA,R200697
Grab,Fingers,Extremity,Unimanual,NA,R200503
Freeze,Body,NA,NA,NA,R200504
Raise,Hand,NA,NA,NA,R200232
Push,Fingers,Extremity,Unimanual,NA,R200065
Grab,Hand,TorsoBack,Unimanual,NA,R201580
Push,Fingers,Extremity,Unimanual,NA,R200236
LayOn,Leg,TorsoBack,NA,NA,R201713
Swing,Arm,NA,Unimanual,Repeated,R200263
Touch,Hand,TorsoBack,NA,NA,R201551
ChestBeat,Hand,NA,Bimanual,Repeated,R203093
Push,Hand,TorsoBack,Unimanual,NA,R200521
Dangle,Body,NA,NA,NA,R200283
Grab,Fingers,TorsoFront,Unimanual,NA,R201229
Reach,Hand,NA,NA,NA,R201230
Touch,Fingers,TorsoBack,NA,NA,R200687
Push,Fingers,TorsoBack,Unimanual,NA,R200688
StompObject,HandFoot,NA,Bimanual,Repeated,R201387
StompObject,Foot,NA,Bimanual,Repeated,R201388
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200211
HitObject,Hand,NA,Unclear,Singular,R200181
RollOver,Body,NA,NA,NA,R200212
Pull,Hand,Extremity,Unimanual,NA,R200523
Push,Hand,Extremity,Unimanual,NA,R200786
Swing,Arm,NA,Unimanual,Singular,R201214
Stroke,Hand,Extremity,Unimanual,NA,R201215
GrabHold,Hand,Extremity,Unimanual,NA,R201216
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200355
Touch,Hand,TorsoBack,NA,NA,R200356
Bite,Mouth,Extremity,NA,NA,R200237
Bite,Mouth,Extremity,NA,NA,R200238
Present,Back,NA,NA,NA,R201614
Touch,Fingers,Extremity,NA,NA,R200348
GrabHold,Hand,Extremity,Unimanual,NA,R200349
Push,Fingers,Mouth,Unimanual,NA,R200700
HitRecipientSoft,Fingers,Head,Unimanual,Singular,R200701
ChestBeat,Hand,NA,Bimanual,Repeated,R200501
LocomoteRecipient,Body,NA,NA,NA,R200502
GrabHold,Hand,TorsoBack,Unimanual,NA,R201615
GrabHold,Hand,TorsoBack,Unimanual,NA,R201618
Grab,Hand,TorsoBack,Unimanual,NA,R201616
Grab,Hand,TorsoBack,Unimanual,NA,R201617
HitNonRecipient,Hand,NA,Unimanual,Singular,R200400
Grab,Hand,Extremity,Unimanual,NA,R201217
Push,Hand,TorsoBack,Unimanual,NA,R201218
Pull,Hand,TorsoBack,Unimanual,NA,R201219
ObjectStance,Body,NA,NA,NA,R203085
TouchLong,Hand,TorsoBack,NA,NA,R203086
HitRecipientSoft,Hand,TorsoBack,Unimanual,Repeated,R203087
HitRecipientSoft,Hand,TorsoBack,Unimanual,Singular,R203088
HitRecipientSoft,Hand,TorsoBack,Unimanual,Singular,R203089
TouchLong,Hand,TorsoBack,NA,NA,R203090
Grab,Hand,TorsoBack,Unimanual,NA,R203091
Embrace,Arm,TorsoBack,Unimanual,NA,R203092
HitRecipient,Hand,Unclear,Unimanual,Singular,R201549
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201520
HitObject,HandFoot,NA,Bimanual,Repeated,R201521
ObjectShake,Hand,NA,Bimanual,Singular,R201522
ObjectShake,Hand,NA,Bimanual,Singular,R201523
Dangle,Body,NA,NA,NA,R200277
HitSelf,Hand,NA,Unimanual,Repeated,R200278
Present,Leg,NA,NA,NA,R201253
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200991
GrabHold,Hand,TorsoBack,Bimanual,NA,R200034
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201279
Push,Knuckles,Extremity,Unimanual,NA,R201322
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201014
Touch,Fingers,Extremity,NA,NA,R201263
BiteThreat,Mouth,NA,NA,NA,R200562
Grab,Hand,Extremity,Unimanual,NA,R200026
Present,Body,NA,NA,NA,R201254
ObjectMove,Hand,NA,Unimanual,NA,R201015
ObjectMove,Hand,NA,Unimanual,NA,R201676
LocomoteGallop,Body,NA,NA,NA,R201677
Grab,Hand,Extremity,Unimanual,NA,R201678
ObjectMove,Hand,NA,Unimanual,NA,R201679
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201012
ChestBeatInformal,Hand,NA,Unclear,Repeated,R201013
Push,Fingers,TorsoBack,Unimanual,NA,R201255
Grab,Hand,TorsoBack,Unimanual,NA,R201256
Push,Fingers,TorsoBack,Unimanual,NA,R201257
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201258
BumpInto,Body,TorsoBack,NA,NA,R201259
HitRecipient,Hand,Head,Unimanual,Singular,R200558
HitFake,Hand,NA,Unimanual,Singular,R200559
Beckon,Leg,NA,NA,NA,R200560
HitRecipient,Hand,Extremity,Unimanual,Singular,R200731
Pull,Hand,Extremity,Unimanual,NA,R200025
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201006
BiteThreat,Mouth,NA,NA,NA,R200727
ObjectMove,Hand,NA,Unimanual,NA,R201133
BiteThreat,Mouth,NA,NA,NA,R200024
HitSelf,Hand,NA,Unimanual,Repeated,R200019
ObjectDrop,Hand,NA,NA,NA,R200020
Present,Body,NA,NA,NA,R200015
Reach,Hand,NA,NA,NA,R203345
Grab,Hand,TorsoBack,Unimanual,NA,R200032
GrabHold,Hand,TorsoBack,Unimanual,NA,R200033
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201001
HeadStand,Body,NA,NA,NA,R200022
ObjectMove,Hand,NA,Unimanual,NA,R200987
StompObject,Foot,NA,Unimanual,Singular,R200992
HitRecipient,Hand,TorsoFront,Unimanual,Singular,R200027
StompObject,Foot,NA,Unimanual,Singular,R200028
StompObject,Foot,NA,Unimanual,Singular,R200029
StompObject,Foot,NA,Unimanual,Singular,R200030
ObjectMove,Body,NA,NA,NA,R200031
StompObject,Foot,NA,Unimanual,Singular,R200732
Grab,Hand,Extremity,Bimanual,NA,R200988
TouchLong,Arm,Head,NA,NA,R201260
TouchLong,Hand,Head,NA,NA,R201261
Push,Fingers,Extremity,Unimanual,NA,R200023
Push,Fingers,TorsoBack,Unimanual,NA,R200733
Push,Knuckles,TorsoBack,Unimanual,NA,R200734
StompObject,Foot,NA,Unimanual,Singular,R200567
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201002
HitRecipient,Hand,TorsoBack,Unimanual,Singular,R201003
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201327
Touch,Fist,Head,NA,NA,R201262
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200606
Present,Leg,NA,NA,NA,R200563
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200555
StompObject,Foot,NA,Unimanual,Singular,R200556
HitRecipient,Hand,Head,Unimanual,Singular,R200557
Present,Back,NA,NA,NA,R200993
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201004
Present,Body,NA,NA,NA,R200016
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203367
HeadStand,Body,NA,NA,NA,R203368
Touch,Hand,TorsoBack,NA,NA,R201317
Touch,Knuckles,TorsoBack,NA,NA,R201318
TouchLong,Hand,TorsoBack,NA,NA,R201319
Push,Knuckles,Head,Unimanual,NA,R201320
Grab,Hand,Extremity,Unimanual,NA,R200996
HitObject,Hand,NA,Bimanual,Repeated,R200997
Raise,Arm,NA,NA,NA,R200998
Pull,Hand,Extremity,Unimanual,NA,R200999
HitRecipientSoft,Fingers,Extremity,Unimanual,Repeated,R201000
Beckon,Arm,NA,NA,NA,R200994
StanceBipedal,Body,NA,NA,NA,R200564
Jump,Body,NA,NA,NA,R200565
Present,Body,NA,NA,NA,R200011
Touch,Hand,TorsoBack,NA,NA,R201275
Push,Hand,TorsoBack,Unimanual,NA,R200013
Present,Body,NA,NA,NA,R200542
Present,Leg,NA,NA,NA,R200543
Present,BodyChest,NA,NA,NA,R201151
HitRecipientSoft,Fingers,Head,Unimanual,Singular,R201152
Present,Back,NA,NA,NA,R201153
Touch,Fingers,Mouth,NA,NA,R200546
Present,Back,NA,NA,NA,R200012
Push,Knuckles,Unclear,Unimanual,NA,R200531
HitRecipientSoft,Hand,TorsoBack,Bimanual,Repeated,R200544
HitRecipient,Hand,TorsoBack,Unimanual,Repeated,R200545
LocomoteGallop,Body,NA,NA,NA,R201007
ObjectShake,Hand,NA,Unimanual,Singular,R201008
LeanIn,Body,TorsoBack,NA,NA,R201316
Raise,Hand,NA,NA,NA,R200553
BiteThreat,Mouth,NA,NA,NA,R200554
Present,Body,NA,NA,NA,R200017
Stroke,Hand,TorsoBack,Unimanual,NA,R201323
TouchLong,Hand,TorsoBack,NA,NA,R201324
Stroke,Hand,TorsoBack,Unimanual,NA,R201325
Push,Knuckles,TorsoBack,Unimanual,NA,R201326
ObjectShake,Hand,NA,Unimanual,Repeated,R201154
ObjectShake,Hand,NA,Bimanual,Repeated,R201987
Push,Hand,Extremity,Unimanual,NA,R203366
Push,Hand,Extremity,Unimanual,NA,R200548
Present,Body,NA,NA,NA,R200014
Present,Bottom,NA,NA,NA,R200018
Pull,Hand,Extremity,Unimanual,NA,R200561
TouchLong,Knuckles,TorsoBack,NA,NA,R200010
ObjectDrop,Hand,NA,NA,NA,R201277
HitObject,Hand,NA,Unimanual,Repeated,R201278
HitObject,Foot,NA,Unimanual,Repeated,R201282
Present,Leg,NA,NA,NA,R200547
Push,Hand,Head,Unimanual,NA,R201298
Pull,Hand,TorsoBack,Unimanual,NA,R201299
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202454
Push,Hand,Extremity,Unimanual,NA,R201072
ObjectShake,Hand,NA,Unimanual,Singular,R200055
Swing,Arm,NA,Unimanual,Singular,R200056
LeanIn,Body,TorsoBack,NA,NA,R201695
Push,Hand,TorsoBack,Unimanual,NA,R201122
Push,Knuckles,Extremity,Unimanual,NA,R200224
Push,Knuckles,Extremity,Unimanual,NA,R200297
Push,Knuckles,TorsoFront,Unimanual,NA,R200373
Embrace,Arm,TorsoBack,Unimanual,NA,R203309
HitNonRecipient,Hand,NA,Unimanual,Repeated,R200058
SpinRoulade,Body,NA,NA,Repeated,R200164
SpinPirouette,Body,NA,NA,Singular,R200165
SpinPirouette,Body,NA,NA,Repeated,R200166
SpinSomersault,Body,NA,NA,Singular,R200167
SpinPirouette,Body,NA,NA,Singular,R200168
SpinPirouette,Body,NA,NA,Repeated,R200169
SpinPirouette,Body,NA,NA,Singular,R200170
GazeStance,Body,NA,NA,NA,R201914
Pull,Hand,TorsoBack,Unimanual,NA,R200963
LocomoteStiffWalk,Body,NA,NA,NA,R200964
StiffStance,Body,NA,NA,NA,R200965
Push,Hand,Extremity,Unimanual,NA,R200147
Push,Fingers,Head,Unimanual,NA,R200150
StiffStance,Body,NA,NA,NA,R200145
LocomoteStiffWalk,Body,NA,NA,NA,R200740
StiffStance,Body,NA,NA,NA,R200130
Reach,Hand,NA,NA,NA,R200143
Embrace,Arm,Head,Unimanual,NA,R200144
ObjectMove,Hand,NA,Bimanual,NA,R201671
Push,Hand,Extremity,Unimanual,NA,R200095
Fling,Head,NA,NA,NA,R200096
Stroke,Fingers,Extremity,Unimanual,NA,R200088
Stroke,Fingers,Extremity,Unimanual,NA,R200089
Stroke,Hand,Extremity,Unimanual,NA,R200090
Stroke,Fingers,Extremity,Unimanual,NA,R200091
Stroke,Fingers,Extremity,Unimanual,NA,R200092
Stroke,Fingers,Extremity,Unimanual,NA,R201123
Stroke,Fingers,Extremity,Unimanual,NA,R201124
Grab,Hand,Extremity,Unimanual,NA,R201125
HitObject,Hand,NA,Unimanual,Repeated,R200846
HitObject,Foot,NA,Unimanual,Singular,R200847
HitObject,Hand,NA,Bimanual,Repeated,R202453
ObjectMove,Hand,NA,Unimanual,NA,R200304
Grab,Fingers,Extremity,Unimanual,NA,R200939
Push,Knuckles,TorsoBack,Unimanual,NA,R200948
HitObject,Hand,NA,Bimanual,Repeated,R202462
Reach,Hand,NA,NA,NA,R200053
Fling,Arm,NA,Unimanual,NA,R200054
Push,Fingers,TorsoBack,Unimanual,NA,R201073
Pull,Hand,TorsoBack,Unimanual,NA,R201074
Pull,Hand,TorsoBack,Unimanual,NA,R201075
HitObject,Hand,NA,Bimanual,Repeated,R202466
HitObject,Hand,NA,Bimanual,Repeated,R202467
Grab,Hand,Head,Unimanual,NA,R203320
Embrace,Arm,TorsoBack,Unimanual,NA,R200726
SpinPirouette,Body,NA,NA,Singular,R201155
SpinPirouette,Body,NA,NA,Singular,R201157
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201158
Fling,Arm,NA,Unimanual,NA,R201156
Grab,Hand,TorsoBack,Unimanual,NA,R200792
OverStance,Body,NA,NA,NA,R201651
LayOn,Leg,Extremity,NA,NA,R200602
Embrace,Arm,Head,Unimanual,NA,R200035
StompObject,Foot,NA,Unimanual,Singular,R202464
HitObject,Hand,NA,Unimanual,Repeated,R202465
SpinPirouette,Body,NA,NA,Repeated,R201197
Present,Bottom,NA,NA,NA,R201119
ObjectMove,Hand,NA,Unimanual,NA,R202468
HitSelf,Hand,NA,Bimanual,Repeated,R202469
HitSelf,Hand,NA,Unimanual,Singular,R202471
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202472
ObjectMove,Hand,NA,Unimanual,NA,R202473
Push,Hand,TorsoBack,Unimanual,NA,R200082
Push,Hand,Unclear,Unimanual,NA,R200083
Touch,Hand,Extremity,NA,NA,R200949
HitRecipient,Hand,Head,Unimanual,Singular,R200950
Swing,Arm,NA,Unimanual,Singular,R200951
HitRecipient,Fingers,TorsoBack,Bimanual,Repeated,R200952
StiffStance,Body,NA,NA,NA,R200741
StompObject,Fist,NA,Unimanual,Singular,R200742
LocomoteStiffWalk,Body,NA,NA,NA,R200743
StompObject,Foot,NA,Unimanual,Singular,R200744
StiffStance,Body,NA,NA,NA,R200745
StiffStance,Body,NA,NA,NA,R200305
Beckon,Hand,NA,NA,NA,R200711
Kiss,Mouth,Mouth,NA,NA,R200107
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200316
StiffStance,Body,NA,NA,NA,R200714
Raise,Hand,NA,NA,NA,R200712
SpinPirouette,Body,NA,NA,Repeated,R201670
Grab,Hand,TorsoBack,Unimanual,NA,R200936
ObjectShake,Hand,NA,Unimanual,Repeated,R200928
ObjectShake,Hand,NA,Unimanual,Repeated,R200929
ObjectShake,Hand,NA,Bimanual,Singular,R200930
LocomoteStiffWalk,Body,NA,NA,NA,R200931
StiffStance,Body,NA,NA,NA,R200932
LocomoteStiffWalk,Body,NA,NA,NA,R200933
StiffStance,Body,NA,NA,NA,R200935
ObjectMove,Hand,NA,Unimanual,NA,R200934
Pull,Hand,Extremity,Unimanual,NA,R200910
StanceBipedal,Body,NA,NA,NA,R200911
LocomoteGallop,Body,NA,NA,NA,R200912
LocomoteGallop,Body,NA,NA,NA,R201053
ObjectMove,Hand,NA,Unimanual,NA,R201054
StiffStance,Body,NA,NA,NA,R201056
StompObject,Foot,NA,Unimanual,Singular,R201055
HitRecipient,Hand,Head,Bimanual,Repeated,R200848
HitRecipient,Hand,Head,Bimanual,Repeated,R200849
HitRecipient,Hand,Head,Bimanual,Repeated,R200850
HitRecipient,Hand,Head,Bimanual,Repeated,R200851
HitRecipient,Hand,Head,Bimanual,Repeated,R200852
HitRecipient,Hand,Head,Bimanual,Repeated,R200853
HitRecipient,Hand,Head,Bimanual,Repeated,R200854
HitRecipient,Hand,Head,Bimanual,Repeated,R200855
HitRecipient,Hand,Unclear,Bimanual,Repeated,R200856
Bite,Mouth,Unclear,NA,NA,R200174
Push,Hand,Unclear,Unimanual,NA,R200175
HitTap,Fingers,TorsoBack,Unimanual,Singular,R201966
StiffStance,Body,NA,NA,NA,R200919
LocomoteStiffWalk,Body,NA,NA,NA,R200920
StiffStance,Body,NA,NA,NA,R200921
HitObjectObject,Hand,NA,Unimanual,Singular,R200922
LocomoteStiffRun,Body,NA,NA,NA,R200923
StiffStance,Body,NA,NA,NA,R200924
Push,Arm,TorsoBack,Unimanual,NA,R203080
Raise,Hand,NA,NA,NA,R200421
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201653
Grab,Hand,Extremity,Unimanual,NA,R200266
Bite,Mouth,TorsoFront,NA,NA,R200630
Reach,Hand,NA,NA,NA,R201051
TouchLong,Hand,Extremity,NA,NA,R201052
ObjectShake,Hand,NA,Unimanual,Singular,R200943
HitObjectObject,Hand,NA,Unimanual,Singular,R200944
HitObject,Hand,NA,Unimanual,Repeated,R200279
Swing,Arm,NA,Unimanual,Singular,R201057
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201058
HitObject,Hand,NA,Bimanual,Repeated,R200306
Reach,Hand,NA,NA,NA,R200925
StiffStance,Body,NA,NA,NA,R200926
ObjectMove,Hand,NA,Unimanual,NA,R200927
GazeStance,Body,NA,NA,NA,R201915
PlaceOnObject,Hand,NA,NA,NA,R200609
GazeStance,Body,NA,NA,NA,R200610
GazeStance,Body,NA,NA,NA,R200611
GazeStance,Body,NA,NA,NA,R203079
GazeStance,Body,NA,NA,NA,R200612
BodyCross,Arm,NA,NA,NA,R200613
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203591
HitObjectRecipient,Hand,NA,Unimanual,Singular,R201164
BodyCross,Arm,NA,NA,NA,R200625
Touch,Hand,Mouth,NA,NA,R201302
LeanIn,Body,TorsoBack,NA,NA,R200615
OverStance,Arm,NA,NA,NA,R200616
LayOn,Leg,Head,NA,NA,R200617
Push,Knuckles,TorsoBack,Unimanual,NA,R200097
BiteThreat,Mouth,NA,NA,NA,R203743
Touch,Hand,Head,NA,NA,R200191
Grab,Fingers,TorsoBack,Unimanual,NA,R200190
BiteThreat,Mouth,NA,NA,NA,R200189
Stroke,Foot,Extremity,Unimanual,NA,R200098
GrabHold,Foot,Extremity,Unimanual,NA,R200099
Rub,Foot,Extremity,NA,NA,R200100
GrabHold,Hand,Extremity,Unimanual,NA,R200722
Raise,Hand,NA,NA,NA,R201292
ObjectMove,Hand,NA,Unimanual,NA,R201293
Touch,Foot,TorsoFront,NA,NA,R200623
Pull,Hand,Extremity,Unimanual,NA,R200624
Grab,Hand,TorsoBack,Unimanual,NA,R201050
Reach,Hand,NA,NA,NA,R200958
ObjectMouth,Mouth,NA,NA,NA,R200747
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200940
Beckon,Arm,NA,NA,NA,R200941
LocomoteStiffWalk,Body,NA,NA,NA,R200942
HitObject,Hand,NA,Bimanual,Repeated,R202497
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200280
HitObject,Hand,NA,Bimanual,Singular,R200793
StiffStance,Body,NA,NA,NA,R200794
LocomoteRecipient,Body,NA,NA,NA,R200337
Push,Arm,TorsoBack,Unimanual,NA,R200720
Grab,Hand,TorsoBack,Unimanual,NA,R200812
Grab,Hand,TorsoBack,Unimanual,NA,R200813
Grab,Hand,TorsoBack,Unimanual,NA,R200814
HitObject,Hand,NA,Unimanual,Singular,R200826
HitObject,Hand,NA,Bimanual,Repeated,R200827
HitObject,Hand,NA,Unimanual,Repeated,R200828
HitObject,Hand,NA,Unclear,Repeated,R200829
HitObject,Hand,NA,Bimanual,Singular,R200830
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203129
Kiss,Mouth,Extremity,NA,NA,R203130
Fling,Arm,NA,Unimanual,NA,R203131
Reach,Hand,NA,NA,NA,R203132
Kiss,Mouth,Mouth,NA,NA,R203133
Grab,Hand,TorsoBack,Unimanual,NA,R201244
Push,Hand,Unclear,Unimanual,NA,R201245
Pull,Hand,TorsoBack,Unimanual,NA,R201247
Lunge,Body,NA,NA,NA,R203318
Lunge,Body,NA,NA,NA,R203319
ObjectMove,Hand,NA,Unimanual,NA,R203135
HitObject,Hand,NA,Bimanual,Repeated,R200281
Embrace,Arm,TorsoBack,Unimanual,NA,R201104
ObjectMove,Hand,NA,Unimanual,NA,R200276
ChestBeat,Hand,NA,Bimanual,Repeated,R200282
LocomoteStiffRun,Body,NA,NA,NA,R201201
HitRecipient,Hand,Extremity,Unimanual,Singular,R202487
GrabHold,Hand,TorsoBack,Unimanual,NA,R202488
ObjectMove,Hand,NA,Unimanual,NA,R201068
LocomoteGallop,Body,NA,NA,NA,R201069
BumpInto,Body,TorsoBack,NA,NA,R200869
Rub,Body,TorsoBack,NA,NA,R200870
Rub,Body,TorsoBack,NA,NA,R200871
Rub,Bottom,TorsoBack,NA,NA,R200872
HitObject,Hand,NA,Bimanual,Repeated,R200146
ObjectMove,Hand,NA,Unimanual,NA,R201048
StiffStance,Body,NA,NA,NA,R201049
Fling,Arm,NA,Unimanual,NA,R200325
LeanIn,Body,TorsoBack,NA,NA,R201696
Embrace,Arm,Extremity,Unimanual,NA,R201683
Grab,Hand,Extremity,Unimanual,NA,R201684
Embrace,Arm,Head,Unimanual,NA,R200112
HitObject,Hand,NA,Bimanual,Repeated,R200293
HitObject,Knuckles,NA,Unimanual,Singular,R200708
Jump,Body,NA,NA,NA,R200294
HitObject,Hand,NA,Unclear,Repeated,R200295
HitObject,Hand,NA,Unclear,Repeated,R200709
StompObject,Foot,NA,Unimanual,Singular,R200393
SpinPirouette,Body,NA,NA,Repeated,R200662
Pull,Fingers,TorsoBack,Unimanual,NA,R200880
Pull,Fingers,TorsoBack,Unimanual,NA,R200881
Pull,Fingers,TorsoBack,Unimanual,NA,R200882
Stroke,Fingers,TorsoBack,Unimanual,NA,R200883
Pull,Fingers,TorsoBack,Unimanual,NA,R200884
Reach,Hand,NA,NA,NA,R203592
HitObject,Hand,NA,Bimanual,Singular,R200831
SpinPirouette,Body,NA,NA,Singular,R200832
Touch,Knuckles,Head,NA,NA,R203117
Touch,Fingers,TorsoFront,NA,NA,R203118
Reach,Hand,NA,NA,NA,R203119
TouchLong,Fist,TorsoBack,NA,NA,R203120
HitRecipient,Hand,Head,Unimanual,Repeated,R203122
Kiss,Mouth,Mouth,NA,NA,R203123
Push,Hand,Extremity,Unimanual,NA,R203124
HitSelf,Hand,NA,Unimanual,Singular,R203125
StiffStance,Body,NA,NA,NA,R203126
Kiss,Mouth,Mouth,NA,NA,R203127
BiteThreat,Mouth,NA,NA,NA,R203128
Grab,Hand,Head,Unimanual,NA,R203121
HitObject,Hand,NA,Bimanual,Singular,R200631
ObjectShake,Hand,NA,Unimanual,Repeated,R201693
ObjectShake,Hand,NA,Bimanual,Repeated,R201694
Embrace,Arm,TorsoBack,Bimanual,NA,R201102
Present,Unclear,NA,NA,NA,R201103
Touch,Arm,TorsoBack,NA,NA,R201368
ObjectMove,Hand,NA,Bimanual,NA,R201369
ObjectMove,Hand,NA,Unimanual,NA,R201370
Grab,Hand,TorsoBack,Unimanual,NA,R202489
Fling,Hand,NA,Unimanual,NA,R201070
Jab,Hand,Mouth,NA,NA,R201071
Fling,Arm,NA,Unimanual,NA,R200908
Push,Fingers,TorsoFront,Unimanual,NA,R200873
Push,Fingers,TorsoFront,Unimanual,NA,R200874
LocomoteGallop,Body,NA,NA,NA,R200323
HitObject,Arm,NA,Unimanual,Singular,R200324
HitRecipient,Arm,Extremity,Bimanual,Singular,R200705
HitRecipient,Hand,Extremity,Unimanual,Singular,R200706
HitObject,Hand,NA,Bimanual,Repeated,R200296
Push,Fingers,Extremity,Unimanual,NA,R200106
GazeStance,Body,NA,NA,NA,R200739
RollOver,Body,NA,NA,NA,R201986
Pull,Hand,TorsoBack,Unimanual,NA,R200886
StiffStance,Body,NA,NA,NA,R200937
StiffStance,Body,NA,NA,NA,R200938
LocomoteStiffWalk,Body,NA,NA,NA,R202493
Push,Arm,Extremity,Unimanual,NA,R202494
HitObject,Hand,NA,Bimanual,Repeated,R200288
HitObject,Hand,NA,Bimanual,Repeated,R200289
HitObject,Hand,NA,Unimanual,Repeated,R200290
HitObject,Hand,NA,Bimanual,Repeated,R200707
Raise,Arm,NA,NA,NA,R200291
HitSelf,Hand,NA,Unimanual,Singular,R200292
ObjectMove,Hand,NA,Unimanual,NA,R201064
HitObject,Hand,NA,Bimanual,Singular,R200151
StiffStance,Body,NA,NA,NA,R200152
SpinPirouette,Body,NA,NA,Singular,R200153
HitObject,Hand,NA,Bimanual,Singular,R200155
LocomoteStiffWalk,Body,NA,NA,NA,R200156
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200154
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200343
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200344
Reach,Hand,NA,NA,NA,R200887
Touch,Hand,TorsoBack,NA,NA,R201294
Touch,Fingers,TorsoBack,NA,NA,R201295
TouchLong,Hand,TorsoBack,NA,NA,R201296
TouchLong,Hand,TorsoBack,NA,NA,R201297
Grab,Fingers,Extremity,Unimanual,NA,R200104
Push,Knuckles,Extremity,Unimanual,NA,R200105
Pull,Hand,Extremity,Unimanual,NA,R200162
Touch,Hand,Head,NA,NA,R200163
Grab,Hand,Head,Unimanual,NA,R202794
Raise,Hand,NA,NA,NA,R201106
Pull,Hand,Head,Unimanual,NA,R200185
Raise,Hand,NA,NA,NA,R200875
BiteThreat,Mouth,NA,NA,NA,R200426
Stroke,Fingers,TorsoBack,Unimanual,NA,R200345
HitRecipient,Hand,Extremity,Unimanual,Singular,R200346
HitObject,Hand,NA,Bimanual,Repeated,R200799
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203589
Fling,Arm,NA,Unimanual,NA,R203590
HitNonRecipient,Fingers,NA,Bimanual,Repeated,R200404
HitNonRecipient,Hand,NA,Unimanual,Singular,R200405
Rub,Foot,Extremity,NA,NA,R200406
GazeStance,Body,NA,NA,NA,R200646
HitObject,Hand,NA,Bimanual,Repeated,R200309
HitObject,Hand,NA,Unimanual,Singular,R200310
HitObject,Hand,NA,Unimanual,Singular,R200311
HitSelf,Hand,NA,Bimanual,Repeated,R200313
Present,Back,NA,NA,NA,R201105
PlaceOnObject,Hand,NA,NA,NA,R201424
LocomoteStiffWalk,Body,NA,NA,NA,R203114
GrabHold,Hand,TorsoBack,Unimanual,NA,R200037
Embrace,Arm,TorsoBack,Unimanual,NA,R200038
