Gesture_record,Morph,Recording_number,Body_part,Contact_recipient,Lateral_use,Repetition
Gesture_record_73,Morph_91,Recording_number_1743,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_73,Morph_91,Recording_number_855,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_20,Morph_104,Recording_number_2714,Body_part_12,NA,NA,NA
Gesture_record_3,Morph_5,Recording_number_2769,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_73,Morph_91,Recording_number_2611,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_805,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_37,Morph_110,Recording_number_2070,Body_part_16,NA,Lateral_use_3,Repetition_3
Gesture_record_25,Morph_81,Recording_number_1761,Body_part_15,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_3,Morph_114,Recording_number_1795,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_25,Morph_81,Recording_number_78,Body_part_15,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_230,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_1,Morph_51,Recording_number_1296,Body_part_12,Contact_recipient_6,NA,NA
Gesture_record_49,Morph_118,Recording_number_2122,Body_part_16,Contact_recipient_3,Lateral_use_1,Repetition_2
Gesture_record_64,Morph_102,Recording_number_2987,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_74,NA,Recording_number_3074,Body_part_5,NA,NA,NA
Gesture_record_49,Morph_118,Recording_number_2313,Body_part_16,Contact_recipient_2,Lateral_use_1,Repetition_2
Gesture_record_65,Morph_2,Recording_number_611,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_1762,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_23,Morph_94,Recording_number_2530,Body_part_10,NA,NA,NA
Gesture_record_73,Morph_91,Recording_number_1694,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_23,Morph_94,Recording_number_2689,Body_part_10,NA,NA,NA
Gesture_record_53,Morph_9,Recording_number_293,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_56,Morph_33,Recording_number_2793,Body_part_16,NA,NA,NA
Gesture_record_18,Morph_121,Recording_number_2667,Body_part_12,NA,NA,NA
Gesture_record_42,Morph_92,Recording_number_2933,Body_part_16,NA,NA,NA
Gesture_record_3,Morph_114,Recording_number_1809,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_8,Morph_126,Recording_number_2392,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_2034,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_16,Morph_30,Recording_number_2630,Body_part_12,NA,NA,NA
Gesture_record_73,Morph_91,Recording_number_2251,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_26,Morph_57,Recording_number_2880,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_49,Morph_118,Recording_number_1077,Body_part_16,Contact_recipient_7,Lateral_use_1,Repetition_2
Gesture_record_26,Morph_57,Recording_number_860,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_26,Morph_57,Recording_number_957,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_26,Morph_57,Recording_number_3216,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_73,Morph_86,Recording_number_417,Body_part_12,NA,NA,NA
Gesture_record_26,Morph_57,Recording_number_3219,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_3,Morph_5,Recording_number_1144,Body_part_16,Contact_recipient_2,Lateral_use_2,NA
Gesture_record_41,Morph_34,Recording_number_1555,Body_part_14,Contact_recipient_3,NA,NA
Gesture_record_41,NA,Recording_number_848,Body_part_16,Contact_recipient_3,NA,NA
Gesture_record_25,Morph_55,Recording_number_1268,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_81,Recording_number_2482,Body_part_15,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_25,Morph_81,Recording_number_1909,Body_part_2,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_26,Morph_57,Recording_number_1802,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_37,Morph_110,Recording_number_2677,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_118,Recording_number_915,Body_part_16,Contact_recipient_6,Lateral_use_1,Repetition_2
Gesture_record_37,Morph_110,Recording_number_1014,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_45,Morph_28,Recording_number_1101,Body_part_4,Contact_recipient_3,NA,NA
Gesture_record_37,Morph_110,Recording_number_1879,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_18,Morph_100,Recording_number_309,Body_part_5,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_118,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_26,Morph_57,Recording_number_1319,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_49,Morph_118,Recording_number_3038,Body_part_16,Contact_recipient_3,Lateral_use_1,Repetition_2
Gesture_record_18,Morph_96,Recording_number_3046,Body_part_3,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_1970,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_18,Morph_121,Recording_number_2892,Body_part_12,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_2696,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_16,Morph_30,Recording_number_565,Body_part_12,NA,NA,NA
Gesture_record_45,Morph_80,Recording_number_2673,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_45,Morph_72,Recording_number_2109,Body_part_2,Contact_recipient_6,NA,NA
Gesture_record_41,Morph_32,Recording_number_262,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_25,Morph_75,Recording_number_1745,Body_part_2,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_3,Morph_5,Recording_number_2030,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_67,Morph_12,Recording_number_385,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_68,Morph_117,Recording_number_571,Body_part_14,NA,NA,NA
Gesture_record_65,Morph_2,Recording_number_922,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_69,Morph_16,Recording_number_2912,Body_part_15,Contact_recipient_2,Lateral_use_1,Repetition_3
Gesture_record_74,Morph_26,Recording_number_696,Body_part_14,NA,NA,NA
Gesture_record_35,Morph_125,Recording_number_2706,Body_part_12,NA,NA,NA
Gesture_record_7,Morph_71,Recording_number_2051,Body_part_12,NA,NA,NA
Gesture_record_18,Morph_121,Recording_number_403,Body_part_12,NA,NA,NA
Gesture_record_45,Morph_80,Recording_number_2964,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_25,Morph_78,Recording_number_1657,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_18,Morph_121,Recording_number_1330,Body_part_12,NA,NA,NA
Gesture_record_18,Morph_100,Recording_number_84,Body_part_5,NA,NA,NA
Gesture_record_18,Morph_111,Recording_number_1247,Body_part_11,NA,NA,NA
Gesture_record_69,Morph_16,Recording_number_610,Body_part_15,Contact_recipient_3,Lateral_use_1,Repetition_2
Gesture_record_18,Morph_96,Recording_number_2401,Body_part_3,NA,NA,NA
Gesture_record_45,NA,Recording_number_1062,Body_part_15,Contact_recipient_4,NA,NA
Gesture_record_18,Morph_96,Recording_number_3084,Body_part_3,NA,NA,NA
Gesture_record_25,NA,Recording_number_2782,Body_part_2,Contact_recipient_1,Lateral_use_1,NA
Gesture_record_69,Morph_10,Recording_number_1707,Body_part_16,Contact_recipient_6,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_116,Recording_number_2704,Body_part_16,Contact_recipient_6,Lateral_use_1,Repetition_3
Gesture_record_20,Morph_104,Recording_number_2963,Body_part_12,NA,NA,NA
Gesture_record_66,Morph_17,Recording_number_2568,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_15,Morph_61,Recording_number_1438,Body_part_12,Contact_recipient_6,NA,NA
Gesture_record_68,Morph_54,Recording_number_923,Body_part_16,NA,NA,NA
Gesture_record_23,Morph_94,Recording_number_2950,Body_part_10,NA,NA,NA
Gesture_record_18,Morph_121,Recording_number_1194,Body_part_12,NA,NA,NA
Gesture_record_54,Morph_105,Recording_number_2365,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_41,Morph_32,Recording_number_3212,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_54,Morph_105,Recording_number_406,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_25,Morph_81,Recording_number_1115,Body_part_2,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_66,Morph_87,Recording_number_1608,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_66,Morph_95,Recording_number_467,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_25,Morph_82,Recording_number_2607,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_82,Recording_number_1399,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_18,Morph_121,Recording_number_1040,Body_part_12,NA,NA,NA
Gesture_record_18,Morph_111,Recording_number_1096,Body_part_7,NA,NA,NA
Gesture_record_65,Morph_2,Recording_number_1687,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_41,Morph_103,Recording_number_213,Body_part_2,Contact_recipient_6,NA,NA
Gesture_record_56,Morph_33,Recording_number_2143,Body_part_16,NA,NA,NA
Gesture_record_67,Morph_58,Recording_number_1373,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_67,Morph_58,Recording_number_3195,Body_part_6,NA,Lateral_use_1,Repetition_3
Gesture_record_18,Morph_100,Recording_number_185,Body_part_5,NA,NA,NA
Gesture_record_25,Morph_122,Recording_number_586,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_65,Morph_21,Recording_number_980,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_896,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_25,Morph_82,Recording_number_1170,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_66,Morph_17,Recording_number_16,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_22,Morph_47,Recording_number_250,Body_part_14,NA,Lateral_use_1,Repetition_2
Gesture_record_15,Morph_61,Recording_number_2396,Body_part_12,Contact_recipient_6,NA,NA
Gesture_record_25,Morph_78,Recording_number_2230,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_25,Morph_55,Recording_number_2744,Body_part_2,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_55,Recording_number_73,Body_part_2,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_63,Recording_number_801,Body_part_2,Contact_recipient_7,Lateral_use_1,NA
Gesture_record_61,Morph_62,Recording_number_1937,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_48,Morph_64,Recording_number_2157,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_2,Morph_56,Recording_number_390,Body_part_12,NA,NA,Repetition_3
Gesture_record_75,Morph_123,Recording_number_1747,Body_part_12,NA,NA,Repetition_2
Gesture_record_75,Morph_24,Recording_number_651,Body_part_12,NA,NA,Repetition_3
Gesture_record_62,NA,Recording_number_1500,Body_part_12,NA,NA,Repetition_2
Gesture_record_75,Morph_123,Recording_number_320,Body_part_12,NA,NA,Repetition_2
Gesture_record_75,Morph_24,Recording_number_2139,Body_part_12,NA,NA,Repetition_3
Gesture_record_75,Morph_123,Recording_number_437,Body_part_12,NA,NA,Repetition_2
Gesture_record_24,Morph_69,Recording_number_168,Body_part_12,NA,NA,NA
Gesture_record_65,Morph_21,Recording_number_2597,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_40,Morph_1,Recording_number_1327,Body_part_12,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_1479,Body_part_12,NA,NA,NA
Gesture_record_25,Morph_82,Recording_number_1313,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_75,Recording_number_1432,Body_part_15,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_36,Morph_53,Recording_number_2255,Body_part_12,NA,NA,NA
Gesture_record_40,Morph_1,Recording_number_1030,Body_part_12,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_1579,Body_part_12,NA,NA,NA
Gesture_record_42,Morph_92,Recording_number_1378,Body_part_16,NA,NA,NA
Gesture_record_61,Morph_97,Recording_number_929,Body_part_14,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_73,Morph_79,Recording_number_1758,Body_part_16,NA,Lateral_use_2,NA
Gesture_record_25,Morph_82,Recording_number_2669,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_58,Morph_31,Recording_number_101,Body_part_9,NA,NA,NA
Gesture_record_54,Morph_120,Recording_number_255,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_54,Morph_120,Recording_number_677,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_54,Morph_105,Recording_number_3127,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_54,Morph_120,Recording_number_2841,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_54,Morph_120,Recording_number_2671,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_54,Morph_120,Recording_number_2625,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_54,Morph_120,Recording_number_2074,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_3,Morph_5,Recording_number_2498,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_67,Morph_58,Recording_number_825,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_67,Morph_43,Recording_number_2432,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_67,Morph_12,Recording_number_3150,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_73,Morph_91,Recording_number_1357,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_3,Morph_124,Recording_number_1155,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_81,Recording_number_2715,Body_part_2,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_67,Morph_12,Recording_number_2459,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_42,Morph_92,Recording_number_2937,Body_part_16,NA,NA,NA
Gesture_record_58,Morph_31,Recording_number_1354,Body_part_14,NA,Lateral_use_1,NA
Gesture_record_25,Morph_81,Recording_number_1697,Body_part_15,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_65,Morph_21,Recording_number_2637,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_65,Morph_21,Recording_number_36,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_67,Morph_12,Recording_number_1239,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_67,Morph_12,Recording_number_1326,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_3,Morph_73,Recording_number_687,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_61,Morph_62,Recording_number_249,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_75,Morph_123,Recording_number_1986,Body_part_12,NA,NA,Repetition_2
Gesture_record_75,Morph_123,Recording_number_3171,Body_part_12,NA,NA,Repetition_2
Gesture_record_37,Morph_110,Recording_number_365,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_58,Morph_31,Recording_number_2665,Body_part_14,NA,Lateral_use_1,NA
Gesture_record_3,Morph_114,Recording_number_2646,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_72,Morph_74,Recording_number_1081,Body_part_12,NA,NA,NA
Gesture_record_44,Morph_4,Recording_number_500,Body_part_5,Contact_recipient_2,NA,NA
Gesture_record_61,Morph_97,Recording_number_1458,Body_part_14,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_26,Morph_57,Recording_number_3040,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_67,Morph_58,Recording_number_2876,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_75,Morph_24,Recording_number_360,Body_part_12,NA,NA,Repetition_3
Gesture_record_18,Morph_111,Recording_number_2779,Body_part_7,NA,NA,NA
Gesture_record_73,Morph_91,Recording_number_1497,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_53,Morph_9,Recording_number_1673,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_53,Morph_59,Recording_number_424,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_37,Morph_110,Recording_number_2897,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_73,Morph_91,Recording_number_1427,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_25,Morph_78,Recording_number_1165,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_25,NA,Recording_number_2765,Body_part_16,Contact_recipient_1,Lateral_use_1,NA
Gesture_record_45,Morph_85,Recording_number_1420,Body_part_16,Contact_recipient_2,NA,NA
Gesture_record_49,Morph_118,Recording_number_3189,Body_part_16,Contact_recipient_3,Lateral_use_1,Repetition_2
Gesture_record_22,Morph_47,Recording_number_1133,Body_part_14,NA,Lateral_use_1,Repetition_2
Gesture_record_49,Morph_99,Recording_number_37,Body_part_15,Contact_recipient_6,Lateral_use_2,Repetition_3
Gesture_record_36,Morph_53,Recording_number_1087,Body_part_12,NA,NA,NA
Gesture_record_26,Morph_41,Recording_number_795,Body_part_4,NA,Lateral_use_1,Repetition_2
Gesture_record_40,Morph_1,Recording_number_927,Body_part_12,NA,NA,NA
Gesture_record_26,Morph_57,Recording_number_77,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_36,Morph_53,Recording_number_622,Body_part_12,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_2988,Body_part_12,NA,NA,NA
Gesture_record_74,Morph_107,Recording_number_2100,Body_part_16,NA,NA,NA
Gesture_record_5,Morph_14,Recording_number_3092,Body_part_10,Contact_recipient_4,NA,NA
Gesture_record_37,Morph_110,Recording_number_1259,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_36,Morph_53,Recording_number_1154,Body_part_12,NA,NA,NA
Gesture_record_68,Morph_54,Recording_number_2700,Body_part_16,NA,NA,NA
Gesture_record_75,Morph_24,Recording_number_714,Body_part_12,NA,NA,Repetition_3
Gesture_record_3,Morph_114,Recording_number_450,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_66,Morph_87,Recording_number_2229,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_66,Morph_87,Recording_number_746,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_66,Morph_77,Recording_number_312,Body_part_16,NA,Lateral_use_2,Repetition_2
Gesture_record_40,Morph_1,Recording_number_2509,Body_part_12,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_192,Body_part_12,NA,NA,NA
Gesture_record_40,Morph_1,Recording_number_3069,Body_part_12,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_3140,Body_part_12,NA,NA,NA
Gesture_record_73,Morph_91,Recording_number_2827,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_65,Morph_2,Recording_number_3155,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_35,Morph_125,Recording_number_2015,Body_part_12,NA,NA,NA
Gesture_record_20,Morph_104,Recording_number_1417,Body_part_12,NA,NA,NA
Gesture_record_20,Morph_104,Recording_number_125,Body_part_12,NA,NA,NA
Gesture_record_73,Morph_91,Recording_number_1352,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_36,Morph_53,Recording_number_2728,Body_part_12,NA,NA,NA
Gesture_record_26,Morph_57,Recording_number_739,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_49,Morph_99,Recording_number_2649,Body_part_16,Contact_recipient_3,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_99,Recording_number_203,Body_part_16,Contact_recipient_3,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_99,Recording_number_106,Body_part_16,Contact_recipient_3,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_99,Recording_number_1200,Body_part_16,Contact_recipient_3,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_99,Recording_number_2417,Body_part_16,Contact_recipient_3,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_99,Recording_number_3131,Body_part_16,Contact_recipient_3,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_99,Recording_number_1738,Body_part_16,Contact_recipient_3,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_99,Recording_number_366,Body_part_16,Contact_recipient_3,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_99,Recording_number_32,Body_part_16,Contact_recipient_1,Lateral_use_2,Repetition_3
Gesture_record_57,NA,Recording_number_612,Body_part_10,Contact_recipient_1,NA,NA
Gesture_record_25,NA,Recording_number_560,Body_part_16,Contact_recipient_1,Lateral_use_1,NA
Gesture_record_59,Morph_89,Recording_number_2638,Body_part_15,Contact_recipient_6,Lateral_use_1,Repetition_2
Gesture_record_36,Morph_53,Recording_number_2989,Body_part_12,NA,NA,NA
Gesture_record_40,Morph_1,Recording_number_1369,Body_part_12,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_2609,Body_part_12,NA,NA,NA
Gesture_record_52,Morph_66,Recording_number_2610,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_27,Morph_13,Recording_number_2274,Body_part_12,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_19,Body_part_12,NA,NA,NA
Gesture_record_25,Morph_81,Recording_number_2694,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_68,Morph_54,Recording_number_1844,Body_part_16,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_2175,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_3,Morph_5,Recording_number_3149,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_57,NA,Recording_number_2386,Body_part_10,Contact_recipient_7,NA,NA
Gesture_record_42,Morph_92,Recording_number_298,Body_part_16,NA,NA,NA
Gesture_record_41,Morph_42,Recording_number_3106,Body_part_16,Contact_recipient_2,NA,NA
Gesture_record_66,Morph_17,Recording_number_2065,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_52,Morph_66,Recording_number_442,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_67,Morph_58,Recording_number_483,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_22,Morph_47,Recording_number_2992,Body_part_14,NA,Lateral_use_1,Repetition_2
Gesture_record_37,Morph_110,Recording_number_2536,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_67,Morph_12,Recording_number_2819,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_42,Morph_92,Recording_number_1116,Body_part_16,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_150,Body_part_12,NA,NA,NA
Gesture_record_73,Morph_91,Recording_number_1274,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_24,Morph_69,Recording_number_2697,Body_part_12,NA,NA,NA
Gesture_record_47,Morph_113,Recording_number_216,Body_part_16,NA,NA,NA
Gesture_record_24,Morph_69,Recording_number_716,Body_part_12,NA,NA,NA
Gesture_record_24,Morph_69,Recording_number_3112,Body_part_12,NA,NA,NA
Gesture_record_24,Morph_69,Recording_number_2640,Body_part_12,NA,NA,NA
Gesture_record_24,Morph_69,Recording_number_297,Body_part_12,NA,NA,NA
Gesture_record_28,Morph_38,Recording_number_1036,Body_part_14,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_2472,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_60,NA,Recording_number_1543,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_28,Morph_38,Recording_number_2789,Body_part_14,NA,NA,NA
Gesture_record_45,NA,Recording_number_1542,Body_part_16,Contact_recipient_4,NA,NA
Gesture_record_15,Morph_61,Recording_number_2808,Body_part_12,Contact_recipient_6,NA,NA
Gesture_record_72,Morph_70,Recording_number_834,Body_part_14,NA,NA,NA
Gesture_record_44,Morph_4,Recording_number_840,Body_part_5,Contact_recipient_3,NA,NA
Gesture_record_25,Morph_81,Recording_number_1953,Body_part_2,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_23,Morph_94,Recording_number_3210,Body_part_10,NA,NA,NA
Gesture_record_45,Morph_28,Recording_number_284,Body_part_16,Contact_recipient_3,NA,NA
Gesture_record_3,Morph_124,Recording_number_562,Body_part_15,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_23,Morph_94,Recording_number_302,Body_part_10,NA,NA,NA
Gesture_record_54,NA,Recording_number_857,Body_part_6,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_8,Morph_88,Recording_number_993,Body_part_6,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_19,Morph_109,Recording_number_1662,Body_part_6,Contact_recipient_2,NA,NA
Gesture_record_8,Morph_88,Recording_number_2054,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_68,Morph_54,Recording_number_2431,Body_part_16,NA,NA,NA
Gesture_record_73,Morph_91,Recording_number_1700,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_45,Morph_28,Recording_number_897,Body_part_6,Contact_recipient_7,NA,NA
Gesture_record_65,Morph_2,Recording_number_701,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_3,Morph_114,Recording_number_2049,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_42,Morph_92,Recording_number_2981,Body_part_16,NA,NA,NA
Gesture_record_21,Morph_50,Recording_number_1754,Body_part_10,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_402,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_74,Morph_26,Recording_number_2345,Body_part_14,NA,NA,NA
Gesture_record_40,Morph_1,Recording_number_350,Body_part_12,NA,NA,NA
Gesture_record_67,Morph_12,Recording_number_2081,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_37,Morph_110,Recording_number_1502,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_67,Morph_23,Recording_number_2586,Body_part_16,NA,Lateral_use_2,Repetition_2
Gesture_record_36,Morph_53,Recording_number_233,Body_part_12,NA,NA,NA
Gesture_record_30,Morph_119,Recording_number_1382,Body_part_12,NA,NA,NA
Gesture_record_25,Morph_81,Recording_number_939,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_3,Morph_114,Recording_number_229,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_3,Morph_114,Recording_number_1222,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_3,Morph_114,Recording_number_1992,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_67,Morph_43,Recording_number_1080,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_67,Morph_12,Recording_number_3018,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_67,Morph_58,Recording_number_2215,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_67,NA,Recording_number_1454,Body_part_16,NA,Lateral_use_3,Repetition_3
Gesture_record_67,Morph_23,Recording_number_303,Body_part_16,NA,Lateral_use_2,Repetition_2
